idno;netustm;ppltrst;vote;prtvtddk;lvpntyr;tygrtr;gndr;yrbrn;edlvddk;eduyrs;wkhct;wkhtot;grspnum;frlgrsp;inwtm
110;180,0;8;Yes;Socialdemokratiet - The Social democrats;1968;Never too young;Male;1949;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;9;28;28;9999999;9999999;119,0
705;60,0;5;Yes;Det Konservative Folkeparti - Conservative People's Party;1976;67;Male;1958;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;22;37;45;9999999;9999999;55,0
1327;240,0;5;NA;NA;Still in parental home, never left 2 months;NA;Male;2000;Folkeskole 9.-10. klasse;11;37;37;9999999;9999999;37,0
3760;300,0;7;Not eligible to vote;NA;Still in parental home, never left 2 months;40;Male;2002;Folkeskole 9.-10. klasse;9;2;2;200;9999999;43,0
4658;90,0;8;Yes;NA;1974;50;Female;1956;Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem;4;30;30;9999999;9999999;62,0
5816;90,0;7;Yes;SF Socialistisk Folkeparti - Socialist People's Party;1994;60;Male;1974;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;35;37;37;37000;35000;61,0
7251;300,0;5;Yes;Dansk Folkeparti - Danish People's Party;1993;40;Female;1975;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;13;32;34;22000;30000;68,0
7887;360,0;8;Yes;Socialdemokratiet - The Social democrats;1983;55;Male;1958;Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks;25;39;39;36000;42000;89,0
9607;540,0;9;Yes;Alternativet - The Alternative;1982;64;Female;1964;Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,;13;32;34;32000;9999999;50,0
11123;150,0;7;Yes;Socialdemokratiet - The Social democrats;1994;45;Male;1974;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;16;37;37;9000;9999999;62,0
11688;NA,0;5;Yes;Socialdemokratiet - The Social democrats;1968;50;Female;1952;Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-;2;37;37;9999999;9999999;77,0
